,id,name,rating,reviews,host_id,address,country,bathrooms,beds,guests,toilets,bedrooms,studios,checkin,checkout,tv,wifi,chromecast,refrigerator,kitchen,view,parking,workspace,pool,gym,no_pets,no_smoking,no_parties_or_events,house_rules_num,img_links_num,amenities_num
25,53151582,Sapancaguldibibugalov,4.96,26,430242262,"Sapanca, Sakarya, Turkey",Turkey,1,1,4,0,1,0, 2 00 pm - 2 00 am, 12 00 pm,False,True,False,False,True,True,True,True,True,False,False,False,False,6,6,10
26,625932329535277910,sapanca Bungalife M,4.6,5,457654417,"Memnuniye, Sakarya, Turkey",Turkey,2,4,7,0,3,0,Flexible,Flexible,True,False,False,False,True,False,False,False,True,False,False,False,False,1,6,10
27,629647204973611229,Bungalows with private pools in touch with nature,-1.0,2,459745732,"Sapanca, Sakarya, Turkey",Turkey,1,1,4,0,1,0, 2 00 pm - 12 00 am, 12 00 pm,False,True,False,False,True,True,False,False,True,False,True,False,False,5,6,10
28,46794233,sapancapanoramabungalow1,5.0,4,359685585,"Sapanca, Sakarya, Turkey",Turkey,1,2,4,0,1,0, 2 00 pm - 10 00 pm, 12 00 pm,False,True,False,False,True,True,True,True,False,False,False,False,False,6,6,10
29,22606080,Coconut Tree House Udalo Mindoro,4.87,85,23070428,"Abra de Ilog, MIMAROPA, Philippines",Philippines,1,1,2,0,1,0, Flexible,Flexible,False,False,False,True,True,False,False,False,False,False,False,True,False,3,6,9
30,54323015,"Sapanca Yura Bungalov-1 Havuzlu, Korunaklı,",5.0,9,440689875,"Sapanca, Sakarya, Turkey",Turkey,1,2,4,0,1,0, After 2 00 pm, 11 00 am,True,True,False,False,True,False,True,True,True,False,True,False,False,8,6,12
31,49673016,Glass Teepee Village - River Glamping near Manila,4.9,20,43936498,"Tanay, Calabarzon, Philippines",Philippines,1,5,7,0,3,0, After 4 00 pm, 3 00 pm,False,False,False,False,False,True,True,False,False,False,False,False,False,9,9,10
32,50458442,Bungalow Holiday Villa Gen with Private Pool and Jacuzzi,4.64,11,386223873,"Kaş, Antalya, Turkey",Turkey,1,1,2,0,1,0, 4 00 pm - 11 00 pm, 10 00 am,True,True,False,False,True,False,True,True,True,False,False,False,False,2,6,10
33,614793135736222490,Kid and Pet Friendly Tiny House,5.0,7,315877163,"Avanos, Nevşehir, Turkey",Turkey,1,2,3,0,1,0, After 2 00 pm, 12 00 pm,False,True,False,False,True,True,True,True,False,False,False,True,False,5,6,10
34,53309759,SAPANCA ANL HILL BUNGALOW,4.75,4,431589521,"Sapanca, Sakarya, Turkey",Turkey,1,0,4,0,1,0, After 2 00 pm, 11 00 am,False,True,False,False,True,True,True,True,True,False,False,False,False,5,6,10
35,580261419619831357,A-Frame of Mind,5.0,8,33329789,"Seetla, Uttarakhand, India",India,1,0,2,0,1,0, 2 00 pm - 10 00 pm, 11 00 am,False,True,False,False,True,True,True,True,False,False,False,True,False,4,7,10
36,546619590761604346,Dinosaurs  Resort 3BHK AC CABIN,-1.0,0,441844482,"Lonavla, Maharashtra, India",India,4,3,7,0,3,0, After 3 00 pm,Flexible,False,True,False,False,True,True,True,True,True,False,False,True,False,6,6,10
37,626028165124157941,Sapanca Nature Bungalow Suite with Pool and Jacuzzi,-1.0,1,430105736,"Sapanca, Sakarya, Turkey",Turkey,1,1,4,0,1,0, After 2 00 pm, 12 00 pm,False,True,False,False,True,True,True,False,True,False,False,False,False,8,6,10
38,666617618674782773,Moonshine Sapanca,-1.0,0,446683349,"Sapanca, Sakarya, Turkey",Turkey,1,2,5,0,2,0, After 2 00 pm, 11 00 am,True,True,False,False,True,True,True,False,True,False,True,False,True,6,6,10
39,21082489,LOGIN OKINAWA -wood-,4.68,241,151975076,"Onna-son, Kunigami-gun, Okinawa-ken, Japan",Japan,1,7,9,0,3,0, 4 00 pm - 12 00 am, 11 00 am,True,True,False,False,True,True,True,False,False,False,False,True,True,9,6,10
40,30825825,Hacienda Paragua,4.83,41,161316201,"Coron, MIMAROPA, Philippines",Philippines,1,2,4,0,1,0, After 2 00 pm, 12 00 pm,False,False,False,False,False,False,False,False,False,False,False,False,True,6,6,6
41,54301655,Rich Bungalow in Maşukiye,5.0,10,439826603,"Kartepe, Kocaeli, Turkey",Turkey,1,1,4,0,1,0, 2 00 pm - 9 00 pm, 12 00 pm,True,True,False,False,True,False,True,False,False,False,False,False,False,8,6,10
42,610745734737149895,LAKERS BUNGALOV 3,-1.0,2,451105974,"Sapanca, Sakarya, Turkey",Turkey,1,2,3,0,1,0, 2 00 pm - 2 00 am, 11 00 am,False,True,False,False,True,True,True,False,False,False,False,False,False,3,6,10
43,44039103,"Cozy Tiny House in Bagac, Bataan near Las Casas",4.68,25,188460369,"Bagac, Central Luzon, Philippines",Philippines,1,2,5,0,2,0, 2 00 pm - 11 00 pm, 11 00 am,False,True,False,False,True,True,True,False,False,False,True,True,True,6,8,10
44,29717885,A lemon Tree Hut  - Near Auroville,4.8,61,201002532,"Bommayapalayam  Near Auroville , Tamil Nadu, India",India,2,1,2,0,1,0, 11 00 am - 5 00 pm, 10 00 am,False,True,False,False,True,False,True,True,False,False,True,False,True,9,6,10
45,1126224,"House in Monterrazas, Metro Baguio",4.68,154,6176141,"Baguio, Cordillera Administrative Region, Philippines",Philippines,3,8,10,0,3,0, After 2 00 pm, 11 00 am,True,True,False,False,True,True,True,True,False,False,True,True,True,9,9,10
46,626359229528994415,Glamping in the A-frame Kubo at the Sunset Hill,-1.0,0,57230704,"San Juan, Ilocos Region, Philippines",Philippines,0,1,2,1,1,0, After 3 00 pm, 11 00 am,False,True,False,False,False,False,True,False,False,False,True,True,False,5,6,9
47,592431497070075673,Bungalow with Heated Private Pool in Sapanca,-1.0,1,463019242,"Memnuniye, Sakarya, Turkey",Turkey,1,1,2,0,1,0, 2 00 pm - 12 00 am, 11 00 am,True,True,False,False,True,False,True,True,True,False,True,False,True,9,6,10
48,41617156,Welcome from Borjomi,4.82,44,250467173,"Borjomi, Samtskhe-Javakheti, Georgia",Georgia,1,2,4,0,1,0, After 2 00 pm, 11 00 am,True,True,False,False,True,True,True,True,False,False,False,True,True,6,7,10
